Party,Age,Tenure,Religion
Republican,40,0,Methodist
Republican,68,2,Restorationist
Republican,65,0,Roman Catholic
Republican,58,8,Roman Catholic
Democratic,58,3,Unspecified Protestant
Independent,46,4,Agnostic
Republican,72,12,Baptist
Republican,45,8,Methodist
Democratic,89,31,Jewish
Democratic,49,2,Roman Catholic
Democratic,58,14,Unknown
Democratic,70,2,Quaker
Democratic,76,12,Jewish
Democratic,49,10,Roman Catholic
Democratic,76,22,Presbyterian
Democratic,59,13,Presbyterian
Republican,51,12,Roman Catholic
Republican,70,4,Baptist
Democratic,35,2,Jewish
Democratic,53,2,Baptist
Democratic,75,10,Buddhist
Democratic,50,11,Jewish
Republican,71,24,Mormon
Republican,79,14,Roman Catholic
Democratic,54,6,Unknown
Democratic,78,26,Roman Catholic
Republican,68,4,Roman Catholic
Republican,50,6,Unspecified Protestant
Republican,52,8,Lutheran
Republican,89,42,Baptist
Republican,62,2,Restorationist
Republican,68,12,Baptist
Republican,80,38,Baptist
Republican,60,12,Presbyterian
Republican,65,8,Nondenominational Protestant
Republican,71,6,Methodist
Republican,70,26,Methodist
Independent,78,10,Episcopalian
Democratic,79,16,Jewish
Democratic,64,6,Episcopalian
Democratic,76,10,Roman Catholic
Democratic,73,10,Methodist
Democratic,64,8,Lutheran
Democratic,72,22,Methodist
Democratic,62,16,Congregationalist
Democratic,64,5,Unspecified Protestant
Republican,63,5,Baptist
Republican,71,16,Baptist
Republican,43,4,Presbyterian
Republican,47,0,Roman Catholic
Republican,60,8,Presbyterian
Democratic,66,16,Wesleyan-Holiness Evangelical
Republican,71,10,Presbyterian
Republican,58,0,Roman Catholic
Democratic,58,6,Roman Catholic
Democratic,65,4,Jewish
Democratic,64,6,Congregationalist
Democratic,75,14,Unspecified Protestant
Democratic,53,10,Baptist
Democratic,69,17,Roman Roman Catholic
Democratic,51,10,Lutheran
Democratic,50,2,Roman Catholic
Democratic,56,14,Roman Catholic
Democratic,72,24,Jewish
Republican,51,0,Nondenominational Protestant
Republican,62,8,Roman Catholic
Republican,62,4,Pentecostal
Republican,65,12,Roman Catholic
Democratic,70,16,Baptist
Republican,38,0,Roman Catholic
Republican,54,8,Baptist
Republican,45,0,Roman Roman Catholic
Democratic,66,14,Lutheran
Democratic,73,27,Jewish
Democratic,62,16,Baptist
Democratic,53,0,Unknown
Democratic,73,26,Roman Catholic
Democratic,67,16,Episcopalian
Republican,67,20,Baptist
Republican,70,4,Baptist
Republican,68,8,Roman Catholic
Republican,62,18,Nondenominational Protestant
Republican,70,4,Presbyterian
Republican,63,2,Episcopalian
Republican,70,21,Restorationist
Republican,52,10,Episcopalian
Republican,51,12,Unspecified Protestant
Republican,75,4,Mormon
Independent,81,16,Jewish
Democratic,75,0,Roman Catholic
Democratic,64,10,Roman Catholic
Democratic,68,14,Presbyterian
Democratic,64,22,Roman Catholic
Democratic,72,30,Roman Catholic
Republican,69,8,Presbyterian
Democratic,75,13,Roman Catholic
Democratic,60,10,Unknown
Republican,67,12,Unspecified Protestant
Republican,70,16,Presbyterian
Republican,68,2,Lutheran
Republican,64,2,Baptist
Republican,56,2,Baptist
Republican,64,20,Baptist
Republican,57,26,Congregationalist
Republican,52,0,Baptist
Republican,68,8,Presbyterian
Democratic,58,12,Methodist
Democratic,49,1,Russian Orthodox
Republican,75,8,Roman Catholic
Republican,60,12,Roman Roman Catholic
Republican,43,0,Unspecified Protestant
Democratic,43,8,Roman Roman Catholic
Democratic,52,4,Roman Roman Catholic
Republican,64,6,Mormon
Republican,40,0,Unspecified Protestant
Democratic,74,20,Roman Roman Catholic
Republican,64,5,Baptist
Republican,64,12,Roman Roman Catholic
Republican,57,12,Baptist
Republican,66,8,Roman Roman Catholic
Republican,65,12,Baptist
Republican,55,8,Baptist
Republican,62,10,Unspecified Protestant
Democratic,58,10,Agnostic
Republican,37,0,Non-Denominational Protestant
Democratic,72,24,Unspecified Protestant
Republican,66,14,Baptist
Democratic,57,10,Unitarian Universalist
Democratic,78,18,Methodist
Democratic,78,14,Unspecified Protestant
Democratic,36,4,Unspecified Protestant
Democratic,70,8,Roman Roman Catholic
Democratic,82,36,Roman Roman Catholic
Democratic,51,12,Unspecified Protestant
Republican,56,0,Episcopalian
Democratic,42,10,Unspecified Protestant
